,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
55,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,6000,8,4,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
56,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,6000,8,4,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
57,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,6000,8,4,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
58,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,6000,8,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
59,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,6000,8,4,17.282,15.288,11.519,12.072,14.107,12.759,14.875,12.454,10.739,11.107,11.335,12.629,15.512
60,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,6000,8,4,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
61,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,6000,8,4,0.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0,4.0,11.0,4.0,3.0,0.0
62,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,8000,8,4,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
63,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,8000,8,4,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
64,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,8000,8,4,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5
65,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,8000,8,4,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
66,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,8000,8,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
67,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,8000,8,4,17.282,15.288,11.519,12.072,14.107,12.759,14.875,12.454,10.739,11.107,11.335,12.629,15.512
68,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,8000,8,4,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
69,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,8000,8,4,0.0,0.0,4.0,3.0,0.0,3.0,0.0,3.0,4.0,11.0,4.0,3.0,0.0
70,WUX,TT,GEMINI_SP,GG,SCOPY,CIMARRONBPSAS,10000,10,5,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
71,WUX,TT,GEMINI_SP,GG,PRE2,CIMARRONBPSAS,10000,10,5,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
72,WUX,TT,GEMINI_SP,GG,CAL2,CIMARRONBPSAS,10000,10,5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
73,WUX,TT,GEMINI_SP,GG,FNC2,CIMARRONBPSAS,10000,10,5,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
74,WUX,TT,GEMINI_SP,GG,SPSC2,CIMARRONBPSAS,10000,10,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
75,WUX,TT,SPIO,GG,CRT2,CIMARRONBPSAS,10000,10,5,23.776,36.111,33.296,17.683,23.299,21.397,23.464,22.84,19.672,18.204,32.353,13.964,24.174
76,WUX,TT,SPIO,GG,FIN2,CIMARRONBPSAS,10000,10,5,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
77,WUX,TT,SPIO,GG,MQM2,CIMARRONBPSAS,10000,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,1000,2,2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
79,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,1000,2,2,0.974,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
80,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,1000,2,2,0.98,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
81,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,1000,2,2,0.962,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776
82,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,1000,2,2,0.9608433324915922,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323
83,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,1000,2,2,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
84,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,2000,3,2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
85,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,2000,3,2,0.974,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
86,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,2000,3,2,0.98,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
